movie,year,genre,imdb,douban,region
The Bourne Supremacy,2004,"Action, Mystery, Thriller",7.8,8.5,USA
The Bourne Identity,2002,"Action, Mystery, Thriller",7.9,8.5,USA
Byôsoku 5 senchimêtoru,2007,"Animation, Drama, Romance",7.7,8.3,Japan
Django Unchained,2012,"Drama, Western",8.4,8.5,USA
Majo no takkyûbin,1989,"Animation, Adventure, Drama",7.9,8.5,Japan
The Boat That Rocked,2009,"Comedy, Drama, Music",7.4,8.6,UK
Psycho,1960,"Horror, Mystery, Thriller",8.5,8.9,USA
Begin Again,2013,"Comedy, Drama, Music",7.4,8.5,USA
Ching se,1993,"Drama, Fantasy",7.2,8.4,Hong Kong
Tôkyô monogatari,1953,Drama,8.2,9.2,Japan
The Green Mile,1999,"Crime, Drama, Fantasy",8.5,8.7,USA
Hachikô monogatari,1987,"Drama, Family",8.1,9.0,Japan
Thelma & Louise,1991,"Adventure, Crime, Drama",7.4,8.7,USA
Nezha nao hai,1979,"Adventure, Animation, Fantasy",7.8,8.8,China
The Rock,1996,"Action, Adventure, Thriller",7.4,8.5,USA
Terminator 2: Judgment Day,1991,"Action, Sci-Fi, Thriller",8.5,8.5,USA
Le peuple migrateur,2001,Documentary,8.0,9.1,France
Casablanca,1942,"Drama, Romance, War",8.5,8.6,USA
Into the Wild,2007,"Adventure, Biography, Drama",8.1,8.6,USA
The Man from Earth,2007,"Drama, Fantasy, Sci-Fi",7.9,8.5,USA
Source Code,2011,"Mystery, Romance, Sci-Fi",7.5,8.3,USA
Sun lung moon hak chan,1992,Action,7.3,8.5,Hong Kong
Face/Off,1997,"Action, Crime, Sci-Fi",7.3,8.4,USA
The Matrix Revolutions,2003,"Action, Adventure, Fantasy",6.7,8.5,Australia
City Lights,1931,"Comedy, Drama, Romance",8.6,9.2,USA
Suwarôteiru,1996,"Crime, Drama",7.7,8.6,Japan
E.T. the Extra-Terrestrial,1982,"Family, Sci-Fi",7.9,8.5,USA
"Il buono, il brutto, il cattivo",1966,Western,8.9,9.1,Italy
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",8.3,8.4,UK
American Beauty,1999,Drama,8.4,8.4,USA
The English Patient,1996,"Drama, Romance, War",7.4,8.4,USA
Inside Out,2015,"Animation, Adventure, Comedy",8.2,8.7,USA
The Imitation Game,2014,"Biography, Drama, History",8.0,8.5,UK
Inglourious Basterds,2009,"Adventure, Drama, War",8.3,8.4,USA
Sing lek lek tee reak wa rak,2010,"Comedy, Romance",7.7,8.3,Thailand
Front of the Class,2008,Drama,8.2,8.6,USA
Mulholland Dr.,2001,"Drama, Mystery, Thriller",8.0,8.3,France
The Usual Suspects,1995,"Crime, Drama, Mystery",8.6,8.6,USA
Room,2015,Drama,8.2,8.8,Ireland
Warrior,2011,"Drama, Sport",8.2,8.9,USA
The Gods Must Be Crazy,1980,Comedy,7.3,8.6,Botswana
Before Midnight,2013,"Drama, Romance",7.9,8.8,USA
Wreck-It Ralph,2012,"Animation, Adventure, Comedy",7.7,8.6,USA
Lan se da men,2002,"Drama, Romance",7.2,8.3,Taiwan
The King's Speech,2010,"Biography, Drama",8.0,8.3,UK
Feng kuang de shi tou,2006,"Comedy, Crime",7.7,8.2,China
Blood Diamond,2006,"Adventure, Drama, Thriller",8.0,8.5,Germany
En man som heter Ove,2015,"Comedy, Drama, Romance",7.7,8.7,Sweden
Jibeuro,2002,Drama,7.8,9.0,South Korea
Cheung foh,1999,"Action, Crime, Drama",7.5,8.6,Hong Kong
The Life of David Gale,2003,"Crime, Drama, Thriller",7.6,8.6,USA
Aruitemo aruitemo,2008,Drama,8.0,8.8,Japan
Gattaca,1997,"Drama, Sci-Fi, Thriller",7.8,8.7,USA
The Bucket List,2007,"Adventure, Comedy, Drama",7.4,8.5,USA
Mak Dau goo si,2001,"Animation, Comedy, Drama",7.4,8.5,Hong Kong
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",8.3,8.4,USA
Cast Away,2000,"Adventure, Drama, Romance",7.8,8.5,USA
Once,2007,"Drama, Music, Romance",7.9,8.3,Ireland
Coherence,2013,"Mystery, Sci-Fi, Thriller",7.2,8.4,USA
Dare mo shiranai,2004,Drama,8.1,9.0,Japan
Geu-dae-leul sa-rang-hab-ni-da,2011,"Drama, Romance",7.4,9.0,South Korea
Le papillon,2002,"Adventure, Comedy, Drama",7.2,8.6,France
Moon,2009,"Drama, Mystery, Sci-Fi",7.9,8.5,UK
Le petit Nicolas,2009,"Comedy, Family",7.2,8.6,France
Dances with Wolves,1990,"Adventure, Drama, Western",8.0,8.9,USA
Snatch,2000,"Comedy, Crime",8.3,8.5,UK
