movie,year,genre,imdb,douban,region
Rang De Basanti,2006,"Comedy, Drama, History",8.3,8.6,India
Dunkirk,2017,"Action, Drama, History",8.1,8.5,UK
Mary and Max,2009,"Animation, Comedy, Drama",8.1,8.9,Australia
Gone Girl,2014,"Crime, Drama, Mystery",8.1,8.7,USA
Shutter Island,2010,"Mystery, Thriller",8.1,8.6,USA
La passion de Jeanne d'Arc,1928,"Biography, Drama, History",8.2,8.7,France
Into the Wild,2007,"Adventure, Biography, Drama",8.1,8.6,USA
Life of Brian,1979,Comedy,8.1,8,UK
It Happened One Night,1934,"Comedy, Romance",8.2,8.7,USA
Relatos salvajes,2014,"Comedy, Drama, Thriller",8.1,8.7,Argentina
La La Land,2016,"Comedy, Drama, Music",8.1,8.3,USA
Platoon,1986,"Drama, War",8.1,8.1,UK
Logan,2017,"Action, Drama, Sci-Fi",8.1,8.3,Canada
Hotel Rwanda,2004,"Biography, Drama, History",8.1,8.8,UK
Network,1976,Drama,8.1,8.4,USA
In the Name of the Father,1993,"Biography, Drama",8.1,8.8,Ireland
Le salaire de la peur,1953,"Adventure, Drama, Thriller",8.2,8.7,France
Stand by Me,1986,"Adventure, Drama",8.1,8.9,USA
Rush,2013,"Action, Biography, Drama",8.1,8.8,UK
A Wednesday,2008,"Crime, Drama, Mystery",8.3,6.8,India
The Grand Budapest Hotel,2014,"Adventure, Comedy, Drama",8.1,8.7,USA
Ben-Hur,1959,"Adventure, Drama, History",8.1,8.6,USA
Persona,1966,"Drama, Thriller",8.1,8.7,Sweden
Jurassic Park,1993,"Adventure, Sci-Fi, Thriller",8.1,8,USA
Les quatre cents coups,1959,"Crime, Drama",8.1,8.7,France
Salinui chueok,2003,"Action, Crime, Drama",8.1,8.6,South Korea
12 Years a Slave,2013,"Biography, Drama, History",8.1,7.9,USA
Million Dollar Baby,2004,"Drama, Sport",8.1,8.5,USA
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",8.1,8.5,Australia
Spotlight,2015,"Crime, Drama, History",8.1,8.8,USA
Stalker,1979,"Drama, Sci-Fi",8.1,8.7,Soviet Union
The Truman Show,1998,"Comedy, Drama, Sci-Fi",8.1,9.1,USA
Amores perros,2000,"Drama, Thriller",8.1,8.2,Mexico
Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",8.1,8.7,USA
Thor: Ragnarok,2017,"Action, Adventure, Comedy",8.1,7.5,USA
Hachi: A Dog's Tale,2009,"Drama, Family",8.1,9.2,UK
Before Sunrise,1995,"Drama, Romance",8.1,8.7,USA
Kaze no tani no Naushika,1984,"Animation, Adventure, Fantasy",8.1,8.8,Japan
The Princess Bride,1987,"Adventure, Family, Fantasy",8.1,6.9,USA
The Maltese Falcon,1941,"Film-Noir, Mystery",8.1,7.5,USA
Prisoners,2013,"Crime, Drama, Mystery",8.1,8,USA
Le notti di Cabiria,1957,Drama,8.2,9,Italy
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Drama, Fantasy",8.1,8.6,USA
Paper Moon,1973,"Comedy, Crime, Drama",8.2,8.7,USA
Catch Me If You Can,2002,"Biography, Crime, Drama",8.1,8.7,USA
Rocky,1976,"Drama, Sport",8.1,8.5,USA
The Grapes of Wrath,1940,"Drama, History",8.1,8.4,USA
Les diaboliques,1955,"Crime, Drama, Horror",8.1,8.5,France
"Monsters, Inc.",2001,"Animation, Adventure, Comedy",8.1,8.6,USA
Touch of Evil,1958,"Crime, Drama, Film-Noir",8.1,8.1,USA
Gandhi,1982,"Biography, Drama, History",8.1,8.6,UK
Donnie Darko,2001,"Drama, Sci-Fi, Thriller",8.1,7.3,USA
Barry Lyndon,1975,"Adventure, Drama, History",8.1,8.7,UK
The Terminator,1984,"Action, Sci-Fi",8,7.9,UK
Annie Hall,1977,"Comedy, Romance",8.1,8.5,USA
Groundhog Day,1993,"Comedy, Fantasy, Romance",8,8.5,USA
The Bourne Ultimatum,2007,"Action, Mystery, Thriller",8.1,8.7,USA
The Wizard of Oz,1939,"Adventure, Family, Fantasy",8.1,8.1,USA
La haine,1995,"Crime, Drama",8.1,8.2,France
8½,1963,Drama,8.1,8.4,Italy
Jaws,1975,"Adventure, Drama, Thriller",8,7.7,USA
Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Romance",8.2,7.6,India
The Best Years of Our Lives,1946,"Drama, Romance, War",8.1,8.2,USA
Mou gaan dou,2002,"Crime, Drama, Mystery",8.1,9,Hong Kong
Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",8,8.1,USA
Faa yeung nin wa,2000,"Drama, Romance",8.1,8.5,Hong Kong
The Help,2011,Drama,8.1,8.8,USA
Dead Poets Society,1989,"Comedy, Drama",8,8.9,USA
"Paris, Texas",1984,Drama,8.1,8.6,West Germany
Beauty and the Beast,1991,"Animation, Family, Fantasy",8,8.3,USA
Ah-ga-ssi,2016,"Crime, Drama, Mystery",8.1,8.3,South Korea
Dog Day Afternoon,1975,"Biography, Crime, Drama",8,8.6,USA
PK,2014,"Comedy, Drama, Sci-Fi",8.2,8.3,India
Tenkû no shiro Rapyuta,1986,"Animation, Adventure, Family",8.1,9,Japan
Drishyam,2015,"Crime, Drama, Mystery",8.4,8.3,India
